,,,,,,Scoring,,,,,Goals,,,,Assists,,,,,Ice Time,,,,,,
Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
113,Rasmus Ristolainen\ristora01,22,D,BUF,74,5,39,44,-9,44,4,1,0,2,14,24,1,177,2.8,1977,26:43,156,186,0,0,
114,Patrick Eaves\eavespa01,32,RW,TOT,71,25,18,43,-6,20,14,11,0,1,13,5,0,188,13.3,1177,16:35,40,76,2,2,50.0
115,Patrick Marleau\marlepa01,37,LW,SJS,74,25,18,43,9,18,19,6,0,6,10,8,0,180,13.9,1264,17:05,30,76,76,72,51.4
116,Kyle Okposo\okposky01,28,RW,BUF,63,19,24,43,-6,22,12,7,0,2,9,15,0,151,12.6,1202,19:04,25,52,54,45,54.5
117,Milan Lucic\lucicmi01,28,LW,EDM,74,18,25,43,-7,41,10,8,0,2,12,13,0,153,11.8,1275,17:14,17,181,4,3,57.1
118,Marian Hossa\hossama01,38,RW,CHI,66,24,18,42,6,8,18,5,1,6,12,6,0,150,16.0,1112,16:51,31,27,5,8,38.5
119,Tanner Pearson\pearsta01,24,LW,LAK,71,23,19,42,10,11,19,3,1,4,14,4,1,169,13.6,1160,16:21,22,112,9,13,40.9
120,Michael Frolik\frolimi01,28,RW,CGY,74,16,26,42,12,44,11,3,2,1,20,5,1,184,8.7,1258,16:00,42,51,12,16,42.9
121,Victor Rask\raskvi01,23,C,CAR,72,16,26,42,-8,12,12,4,0,3,20,5,1,163,9.8,1258,17:28,32,39,402,408,49.6
122,Ondrej Palat\palaton01,25,LW,TBL,67,15,27,42,3,37,12,3,0,2,18,9,0,139,10.8,1268,18:55,51,125,9,19,32.1
123,Jordan Staal\staaljo01,28,C,CAR,65,15,27,42,4,32,10,4,1,3,23,4,0,143,10.5,1211,18:38,25,114,609,416,59.4
