,,,,,,Scoring,,,,,Goals,,,,Assists,,,,,Ice Time,,,,,,
Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
253,Joel Ward\wardjo02,36,RW,SJS,72,8,19,27,2,26,5,1,2,1,17,2,0,95,8.4,1152,16:00,51,57,202,214,48.6
254,Morgan Rielly\riellmo01,22,D,TOR,67,6,21,27,-20,21,5,1,0,1,17,4,0,153,3.9,1491,22:15,111,38,0,0,
255,Mark Streit\streima01,39,D,TOT,61,6,21,27,-8,24,5,1,0,2,9,12,0,109,5.5,1162,19:03,80,32,0,0,
256,Jacob Trouba\troubja01,22,D,WPG,53,6,21,27,6,52,6,0,0,1,18,2,1,136,4.4,1320,24:54,103,95,0,0,
257,Andreas Athanasiou\athanan01,22,C,DET,58,16,10,26,-9,28,15,1,0,1,7,3,0,109,14.7,786,13:33,20,29,37,45,45.1
258,Zach Hyman\hymanza01,24,C,TOR,73,9,17,26,3,28,6,0,3,2,17,0,0,142,6.3,1228,16:49,42,100,11,18,37.9
259,Jake Muzzin\muzzija01,27,D,LAK,73,9,17,26,-20,40,5,4,0,1,11,6,0,169,5.3,1624,22:15,100,147,0,0,
260,Jimmy Vesey\veseyji02,23,LW,NYR,73,15,10,25,-9,24,10,5,0,5,7,3,0,107,14.0,992,13:35,32,53,2,5,28.6
261,Adam Lowry\lowryad01,23,C,WPG,75,13,12,25,-2,50,9,4,0,0,7,4,1,113,11.5,1196,15:57,51,194,592,588,50.2
262,Nick Ritchie\ritchni01,21,LW,ANA,70,12,13,25,3,52,11,1,0,3,12,1,0,138,8.7,911,13:01,21,226,4,4,50.0
263,Bryan Rust\rustbr01,24,RW,PIT,51,12,13,25,5,8,12,0,0,1,12,0,1,93,12.9,688,13:29,26,85,1,3,25.0
264,Jake Guentzel\guentja01,22,C,PIT,35,11,14,25,6,8,11,0,0,0,13,1,0,68,16.2,551,15:45,15,58,8,8,50.0
265,Jordan Martinook\martijo01,24,LW,ARI,69,11,14,25,-3,38,9,1,1,2,11,1,2,100,11.0,1089,15:47,60,44,422,515,45.0
266,Vladislav Namestnikov\namesvl01,24,C,TBL,66,10,15,25,-2,27,7,3,0,0,12,3,0,106,9.4,973,14:44,27,59,169,220,43.4
267,Jason Demers\demerja01,28,D,FLA,73,9,16,25,-10,53,9,0,0,2,9,5,2,87,10.3,1439,19:43,78,96,0,0,
268,Tomas Plekanec\plekato01,34,C,MTL,71,8,17,25,5,18,3,3,2,3,13,4,0,125,6.4,1202,16:56,43,55,616,615,50.0
269,Shane Doan\doansh01,40,RW,ARI,70,6,19,25,-4,46,3,3,0,0,17,2,0,137,4.4,1053,15:03,22,95,94,104,47.5
270,Mike Ribeiro\ribeimi01,36,C,NSH,46,4,21,25,-5,14,2,2,0,0,16,5,0,38,10.5,735,15:58,6,33,183,261,41.2
271,Nathan Beaulieu\beaulna01,24,D,MTL,66,3,22,25,8,37,2,1,0,1,12,10,0,105,2.9,1284,19:27,91,55,0,0,
272,Brian Boyle\boylebr01,32,C,TOT,66,13,11,24,5,59,10,3,0,2,8,3,0,126,10.3,883,13:22,39,109,250,241,50.9
273,Bobby Ryan\ryanbo01,29,RW,OTT,56,12,12,24,-5,22,10,2,0,0,9,3,0,99,12.1,857,15:19,33,101,4,3,57.1
274,Loui Eriksson\erikslo01,31,LW,VAN,65,11,13,24,-9,8,6,5,0,1,10,2,1,132,8.3,1214,18:41,26,11,0,1,0.0
275,Derek Ryan\ryande01,30,C,CAR,57,11,13,24,-9,18,6,4,1,3,9,4,0,66,16.7,840,14:45,30,28,324,256,55.9
276,Zdeno Chara\charazd01,39,D,BOS,67,8,16,24,17,53,6,0,2,0,15,1,0,116,6.9,1554,23:11,124,111,0,1,0.0
277,Casey Cizikas\cizikca01,25,C,NYI,56,8,16,24,7,28,8,0,0,1,15,1,0,77,10.4,784,14:00,56,133,405,408,49.8
278,William Karlsson\karlswi01,24,C,CBJ,72,6,18,24,11,4,5,1,0,3,16,0,2,81,7.4,971,13:29,21,30,407,482,45.8
279,Nick Schmaltz\schmani01,20,LW,CHI,53,6,18,24,8,2,6,0,0,0,16,2,0,57,10.5,684,12:55,22,17,75,176,29.9
280,Paul Martin\martipa01,35,D,SJS,73,4,20,24,11,20,4,0,0,1,20,0,0,52,7.7,1407,19:17,109,41,0,0,
281,Erik Haula\haulaer01,25,C,MIN,63,13,10,23,6,22,12,1,0,3,10,0,0,116,11.2,875,13:54,35,36,379,331,53.4
282,Sam Bennett\bennesa01,20,C,CGY,73,11,12,23,-15,71,8,3,0,0,11,0,1,112,9.8,1101,15:05,45,113,329,391,45.7
283,Dominic Moore\mooredo01,36,C,BOS,74,11,12,23,0,42,8,0,3,1,11,0,1,91,12.1,930,12:34,35,58,329,279,54.1
284,Brendan Gallagher\gallabr01,24,RW,MTL,56,8,15,23,3,39,7,1,0,1,14,1,0,164,4.9,846,15:06,15,56,26,39,40.0
285,Scott Wilson\wilsosc01,24,LW,PIT,70,7,16,23,1,30,7,0,0,1,16,0,0,114,6.1,754,10:46,29,154,2,0,100.0
286,Ian Cole\coleia01,27,D,PIT,74,5,18,23,28,66,5,0,0,1,17,1,0,84,6.0,1456,19:40,180,149,0,0,
287,Noah Hanifin\hanifno01,20,D,CAR,71,3,20,23,-18,22,1,2,0,0,12,8,0,99,3.0,1238,17:26,60,43,0,0,
288,Troy Stecher\stechtr01,22,D,VAN,63,3,20,23,-10,25,2,1,0,0,14,6,0,112,2.7,1278,20:17,61,45,0,0,
289,Micheal Ferland\ferlami01,24,LW,CGY,68,14,8,22,0,31,12,2,0,1,7,1,0,95,14.7,776,11:24,26,137,3,4,42.9
290,Brett Ritchie\ritchbr01,23,RW,DAL,72,14,8,22,12,34,13,1,0,2,7,1,0,149,9.4,922,12:48,19,137,1,1,50.0
291,Marcus Foligno\foligma01,25,LW,BUF,74,12,10,22,-4,69,11,0,1,0,10,0,0,91,13.2,1149,15:32,54,264,1,3,25.0
292,Nikolai Kulemin\kulemni01,30,LW,NYI,71,12,10,22,2,18,10,1,1,4,8,1,1,74,16.2,979,13:47,44,78,14,13,51.9
293,Troy Brouwer\brouwtr01,31,RW,CGY,66,11,11,22,-11,31,7,3,1,1,4,6,1,77,14.3,1094,16:34,36,157,15,37,28.8
294,Jarome Iginla\iginlja01,39,RW,TOT,71,11,11,22,-29,65,5,6,0,2,7,4,0,139,7.9,1069,15:03,20,101,15,14,51.7
295,Lars Eller\ellerla01,27,C,WSH,72,10,12,22,17,32,9,0,1,2,11,1,0,98,10.2,1006,13:58,22,63,377,419,47.4
296,Mikkel Boedker\boedkmi01,27,LW,SJS,73,9,13,22,0,8,8,0,1,1,12,1,0,107,8.4,1050,14:23,31,59,3,11,21.4
297,Antoine Vermette\vermean01,34,C,ANA,64,8,14,22,-10,38,4,4,0,1,9,5,0,79,10.1,1018,15:54,42,50,673,407,62.3
298,Pavel Zacha\zachapa01,19,C,NJD,61,8,14,22,-14,19,3,5,0,2,7,7,0,67,11.9,852,13:58,22,46,153,216,41.5
299,Zack Kassian\kassiza01,26,RW,EDM,71,7,15,22,4,95,7,0,0,0,15,0,0,103,6.8,862,12:08,14,177,3,3,50.0
300,Carl Hagelin\hagelca01,28,LW,PIT,61,6,16,22,10,16,6,0,0,2,15,0,1,128,4.7,945,15:29,24,66,3,3,50.0
301,David Savard\savarda01,26,D,CBJ,65,6,16,22,27,38,6,0,0,0,15,0,1,116,5.2,1414,21:45,113,107,0,0,
302,Matt Stajan\stajama01,33,C,CGY,74,5,17,22,6,38,5,0,0,2,15,0,2,55,9.1,935,12:38,36,57,349,337,50.9
303,Marc-Edouard Vlasic\vlasima01,29,D,SJS,68,5,17,22,2,35,4,1,0,2,12,5,0,125,4.0,1451,21:21,127,18,0,0,
304,Mattias Ekholm\ekholma01,26,D,NSH,73,3,19,22,8,30,3,0,0,1,15,3,1,106,2.8,1728,23:40,100,57,0,0,
305,Sami Vatanen\vatansa01,25,D,ANA,65,3,19,22,2,22,1,2,0,0,9,10,0,103,2.9,1422,21:53,118,73,0,0,
306,Brett Connolly\connobr01,24,RW,WSH,59,15,6,21,21,40,14,1,0,3,6,0,0,75,20.0,639,10:49,12,82,4,9,30.8
307,Alex Chiasson\chiasal01,26,RW,CGY,73,10,11,21,-3,42,9,0,1,1,9,2,0,94,10.6,980,13:25,17,68,7,21,25.0
308,Aaron Ekblad\ekblaaa01,20,D,FLA,68,10,11,21,-23,58,5,4,1,2,7,4,0,225,4.4,1459,21:28,62,88,0,0,
309,Mikhail Grigorenko\grigomi01,22,C,COL,67,9,12,21,-12,16,9,0,0,0,8,4,0,80,11.3,953,14:13,21,26,93,72,56.4
310,Trevor Lewis\lewistr01,30,C,LAK,73,9,12,21,-3,26,8,1,0,3,11,1,0,131,6.9,1035,14:11,29,155,43,63,40.6
311,Craig Smith\smithcr01,27,RW,NSH,70,9,12,21,1,30,7,2,0,1,11,1,0,138,6.5,962,13:44,15,84,50,56,47.2
312,Anthony Beauvillier\beauvan01,19,LW,NYI,57,8,13,21,-6,8,8,0,0,1,12,1,0,79,10.1,718,12:36,22,71,82,120,40.6
313,Tom Pyatt\pyattto01,29,LW,OTT,73,8,13,21,11,16,8,0,0,1,11,0,2,88,9.1,1147,15:43,84,43,20,23,46.5
314,Justin Abdelkader\abdelju01,29,LW,DET,55,7,14,21,-17,42,2,5,0,1,11,2,1,88,8.0,902,16:24,20,116,4,9,30.8
315,Johnny Boychuk\boychjo01,33,D,NYI,59,6,15,21,9,17,4,1,1,2,12,2,1,140,4.3,1216,20:37,126,140,1,0,100.0
316,Calvin de Haan\dehaaca01,25,D,NYI,73,5,16,21,11,36,4,1,0,1,15,1,0,100,5.0,1428,19:34,174,120,0,0,
317,Artturi Lehkonen\lehkoar01,21,LW,MTL,65,13,7,20,-3,8,11,2,0,2,5,2,0,138,9.4,902,13:52,23,66,1,1,50.0
318,Steven Stamkos\stamkst01,26,C,TBL,17,9,11,20,3,14,6,3,0,1,7,4,0,58,15.5,304,17:52,3,21,106,92,53.5
319,Daniel Winnik\winnida01,31,LW,WSH,63,9,11,20,12,47,7,0,2,2,11,0,0,67,13.4,810,12:52,34,23,9,10,47.4
320,Pavel Buchnevich\buchnpa01,21,RW,NYR,35,8,12,20,7,13,7,1,0,0,10,2,0,52,15.4,467,13:20,8,12,1,5,16.7
321,Lauri Korpikoski\korpila01,30,LW,TOT,67,8,12,20,6,10,8,0,0,0,11,0,1,106,7.5,840,12:33,34,35,0,7,0.0
322,Josh Morrissey\morrijo04,21,D,WPG,75,6,14,20,8,36,5,1,0,3,14,0,0,89,6.7,1452,19:21,125,133,0,0,
323,Nic Dowd\dowdni01,26,C,LAK,65,5,15,20,-16,25,4,1,0,2,8,7,0,74,6.8,812,12:29,33,137,313,345,47.6
324,Jesper Fast\fastje01,25,RW,NYR,63,5,15,20,6,16,5,0,0,1,15,0,0,54,9.3,871,13:49,38,90,15,27,35.7
325,Dennis Seidenberg\seidede01,35,D,NYI,64,5,15,20,23,28,5,0,0,0,15,0,0,79,6.3,1242,19:24,127,120,0,0,
326,Radko Gudas\gudasra01,26,D,PHI,62,4,16,20,4,75,4,0,0,0,15,1,0,105,3.8,1212,19:33,121,259,0,0,
327,Jonas Brodin\brodijo01,23,D,MIN,59,3,17,20,-1,20,1,2,0,2,13,4,0,73,4.1,1152,19:32,83,19,0,0,
328,Jack Johnson\johnsja02,30,D,CBJ,73,3,17,20,19,32,2,1,0,1,15,1,1,104,2.9,1589,21:46,113,84,1,0,100.0
329,Brendan Perlini\perlibr01,20,LW,ARI,49,13,6,19,-6,18,10,3,0,2,4,2,0,82,15.9,728,14:51,14,36,1,1,50.0
330,Chris Stewart\stewach02,29,RW,MIN,73,13,6,19,3,89,13,0,0,0,4,2,0,78,16.7,751,10:17,18,78,2,7,22.2
331,Marian Gaborik\gaborma01,34,RW,LAK,50,10,9,19,-6,18,7,3,0,3,7,2,0,117,8.5,747,14:56,15,18,0,1,0.0
332,Melker Karlsson\karlsme01,26,C,SJS,60,9,10,19,9,20,8,0,1,1,10,0,0,65,13.8,755,12:35,51,59,1,5,16.7
333,John Moore\moorejo01,26,D,NJD,54,9,10,19,-8,35,8,1,0,0,8,2,0,77,11.7,1023,18:57,59,51,0,0,
334,Colton Sceviour\scevico01,27,C,FLA,71,9,10,19,-17,18,5,1,3,1,8,2,0,154,5.8,1032,14:32,57,99,31,27,53.4
335,Blake Comeau\comeabl01,30,LW,COL,69,8,11,19,-17,58,5,2,1,1,11,0,0,95,8.4,1064,15:25,21,119,110,127,46.4
336,Jakob Chychrun\chychja01,18,D,ARI,61,7,12,19,-11,45,6,1,0,0,11,1,0,78,9.0,1012,16:35,88,100,0,0,
337,Kevin Labanc\labanke01,21,RW,SJS,49,7,12,19,9,22,7,0,0,2,10,2,0,62,11.3,664,13:34,12,19,2,2,50.0
338,Oscar Lindberg\lindbos02,25,C,NYR,57,7,12,19,3,30,7,0,0,1,11,1,0,79,8.9,608,10:40,29,83,255,233,52.3
339,Jori Lehtera\lehtejo01,29,C,STL,61,6,13,19,-5,34,6,0,0,1,11,2,0,64,9.4,926,15:11,27,62,392,414,48.6
340,Trevor Daley\daleytr01,33,D,PIT,54,5,14,19,9,37,4,1,0,0,10,3,1,83,6.0,1097,20:18,82,26,0,0,
341,Ben Hutton\huttobe01,23,D,VAN,62,5,14,19,-21,20,3,2,0,1,5,9,0,114,4.4,1273,20:32,95,42,0,0,
342,Alexander Edler\edleral01,30,D,VAN,59,4,15,19,-15,30,2,2,0,0,13,2,0,113,3.5,1443,24:27,123,94,2,1,66.7
343,Cody Franson\fransco01,29,D,BUF,65,3,16,19,-3,34,2,1,0,0,15,1,0,88,3.4,1206,18:33,65,80,0,0,
344,Thomas Hickey\hicketh01,27,D,NYI,69,3,16,19,-4,29,3,0,0,1,13,3,0,83,3.6,1232,17:51,100,84,0,0,
345,Jake McCabe\mccabja01,23,D,BUF,69,3,16,19,-4,26,2,1,0,1,14,2,0,69,4.3,1437,20:49,105,69,0,0,
346,Matt Read\readma01,30,RW,PHI,59,10,8,18,3,8,7,2,1,2,8,0,0,87,11.5,813,13:47,28,90,5,10,33.3
347,Frank Vatrano\vatrafr01,22,C,BOS,40,10,8,18,-2,14,6,4,0,1,7,1,0,105,9.5,556,13:54,15,47,2,5,28.6
348,Tomas Hertl\hertlto01,23,C,SJS,42,8,10,18,-5,14,7,1,0,3,9,1,0,91,8.8,719,17:07,27,71,190,170,52.8
349,Brandon Pirri\pirribr01,25,RW,NYR,57,8,10,18,-7,23,3,5,0,3,6,4,0,93,8.6,693,12:09,16,37,120,90,57.1
350,Patrick Sharp\sharppa01,35,LW,DAL,48,8,10,18,-22,31,6,1,1,0,10,0,0,146,5.5,765,15:57,24,24,29,32,47.5
351,Chris Tierney\tiernch01,22,C,SJS,73,7,11,18,-8,4,5,1,1,2,10,0,1,78,9.0,1065,14:35,41,42,363,386,48.5
352,Drew Stafford\staffdr01,31,RW,TOT,50,6,12,18,1,20,4,2,0,2,11,1,0,91,6.6,671,13:25,2,58,7,14,33.3
353,Shane Prince\princsh01,24,LW,NYI,47,5,13,18,-7,18,4,1,0,2,11,2,0,65,7.7,616,13:06,11,35,4,3,57.1
354,Cal Clutterbuck\cluttca01,29,RW,NYI,57,3,15,18,-2,26,3,0,0,1,14,1,0,99,3.0,802,14:04,23,199,2,3,40.0
355,Rene Bourque\bourqre01,35,RW,COL,56,12,5,17,-15,50,10,2,0,2,5,0,0,100,12.0,796,14:13,24,69,0,4,0.0
356,Torrey Mitchell\mitchto01,32,C,MTL,74,8,9,17,6,38,8,0,0,1,9,0,0,63,12.7,936,12:39,54,46,397,326,54.9
357,Jonathan Huberdeau\huberjo01,23,LW,FLA,22,6,11,17,5,6,5,1,0,2,8,3,0,56,10.7,394,17:53,3,18,2,4,33.3
358,Hampus Lindholm\lindhha01,23,D,ANA,61,6,11,17,17,36,5,1,0,2,8,3,0,88,6.8,1363,22:21,85,91,2,0,100.0
359,Brian Campbell\campbbr02,37,D,CHI,72,5,12,17,18,22,3,2,0,1,9,3,0,70,7.1,1322,18:21,79,39,0,0,
360,Niklas Hjalmarsson\hjalmni01,29,D,CHI,68,5,12,17,13,16,5,0,0,0,11,0,1,58,8.6,1464,21:32,167,22,0,0,
361,Chris Wideman\widemch01,27,D,OTT,67,5,12,17,6,42,4,1,0,1,8,4,0,110,4.5,889,13:16,55,57,0,0,
362,Jordie Benn\bennjo01,29,D,TOT,69,4,13,17,-3,28,4,0,0,1,10,2,1,67,6.0,1265,18:20,138,60,0,0,
363,Adam Larsson\larssad01,24,D,EDM,71,4,13,17,19,44,4,0,0,0,13,0,0,79,5.1,1429,20:08,136,223,0,0,
364,Dennis Wideman\widemde01,33,D,CGY,55,4,13,17,-7,30,2,2,0,0,10,3,0,85,4.7,1117,20:19,68,60,0,0,
365,Connor Murphy\murphco02,23,D,ARI,69,2,15,17,-11,37,1,0,1,1,15,0,0,68,2.9,1307,18:56,101,170,0,0,
366,Andrew Copp\coppan01,22,C,WPG,57,9,7,16,9,14,8,0,1,1,7,0,0,68,13.2,684,11:00,27,80,84,93,47.5
367,Jamie McGinn\mcginja01,28,LW,ARI,67,9,7,16,-17,23,9,0,0,2,5,2,0,115,7.8,885,13:13,16,114,1,2,33.3
368,Ryan White\whitery01,28,C,TOT,57,9,7,16,-11,77,9,0,0,1,7,0,0,54,16.7,607,10:39,30,165,39,49,44.3
369,Joel Armia\armiajo01,23,RW,WPG,50,8,8,16,-8,16,6,0,2,1,7,1,0,94,8.5,758,15:09,24,57,3,4,42.9
370,Miles Wood\woodmi01,21,LW,NJD,52,8,8,16,-19,70,6,2,0,0,6,2,0,93,8.6,663,12:45,24,63,1,1,50.0
371,Nick Cousins\cousini01,23,C,PHI,59,6,10,16,-6,31,5,1,0,0,9,1,0,95,6.3,703,11:55,24,60,89,128,41.0
372,Tom Wilson\wilsoto01,22,RW,WSH,73,6,10,16,7,110,6,0,0,0,10,0,0,85,7.1,939,12:52,38,213,3,7,30.0
373,Alan Quine\quineal01,23,C,NYI,53,5,11,16,0,6,3,2,0,1,10,1,0,73,6.8,660,12:27,25,66,235,244,49.1
374,Anton Stralman\stralan01,30,D,TBL,65,3,13,16,-4,16,2,1,0,0,7,6,0,113,2.7,1483,22:49,83,97,0,0,
375,Andrew MacDonald\macdoan01,30,D,PHI,64,2,14,16,-9,22,2,0,0,0,13,0,1,55,3.6,1285,20:05,137,33,0,0,
376,Brett Pesce\pescebr01,22,D,CAR,72,2,14,16,16,20,2,0,0,0,12,2,0,89,2.2,1515,21:03,133,51,0,0,
377,David Schlemko\schleda01,29,D,SJS,54,2,14,16,5,12,1,1,0,1,12,2,0,101,2.0,893,16:33,93,33,0,0,
378,Viktor Stalberg\stalbvi01,31,LW,TOT,69,11,4,15,-8,41,8,1,2,2,3,1,0,86,12.8,822,11:55,22,134,0,3,0.0
379,Adam Cracknell\crackad01,31,RW,DAL,61,10,5,15,13,12,9,0,1,2,5,0,0,73,13.7,620,10:10,33,85,126,144,46.7
380,Dwight King\kingdw01,27,LW,TOT,72,8,7,15,-2,10,8,0,0,1,7,0,0,99,8.1,1053,14:37,26,113,4,10,28.6
381,Brandon Carlo\carlobr01,20,D,BOS,74,6,9,15,5,55,5,0,1,0,9,0,0,84,7.1,1553,20:59,101,78,0,0,
382,Joonas Donskoi\donskjo01,24,RW,SJS,54,6,9,15,-5,10,5,1,0,0,6,3,0,89,6.7,754,13:58,26,21,8,8,50.0
383,Beau Bennett\bennebe01,25,RW,NJD,56,5,10,15,-5,14,4,1,0,1,9,1,0,88,5.7,759,13:33,11,63,3,12,20.0
384,Michael Del Zotto\delzomi01,26,D,PHI,43,5,10,15,-5,22,5,0,0,0,9,0,1,79,6.3,844,19:38,72,144,0,1,0.0
385,Derek MacKenzie\mackede01,35,C,FLA,73,5,10,15,-5,33,4,0,1,0,7,0,3,79,6.3,921,12:37,41,178,333,342,49.3
386,Michael Matheson\mathemi01,22,D,FLA,72,5,10,15,-5,32,5,0,0,0,8,1,1,166,3.0,1499,20:49,106,65,1,0,100.0
387,Curtis McKenzie\mckencu01,25,LW,DAL,50,5,10,15,6,67,5,0,0,3,10,0,0,63,7.9,542,10:51,29,94,3,3,50.0
388,Trevor van Riemsdyk\vanritr01,25,D,CHI,50,5,10,15,20,27,5,0,0,2,10,0,0,63,7.9,917,18:21,83,19,0,0,
389,Austin Watson\watsoau01,25,LW,NSH,69,5,10,15,12,97,5,0,0,0,9,0,1,77,6.5,859,12:27,57,128,5,7,41.7
390,Deryk Engelland\engelde01,34,D,CGY,74,4,11,15,6,68,4,0,0,2,11,0,0,102,3.9,1351,18:16,122,125,1,0,100.0
391,Ron Hainsey\hainsro01,35,D,TOT,66,4,11,15,-12,19,3,0,1,1,10,0,1,65,6.2,1458,22:05,110,89,0,0,
392,Francois Beauchemin\beaucfr01,36,D,COL,72,3,12,15,-12,26,3,0,0,1,9,3,0,110,2.7,1560,21:40,138,63,0,0,
393,Derek Forbort\forbode01,24,D,LAK,73,2,13,15,4,50,2,0,0,0,12,0,1,91,2.2,1471,20:09,141,162,1,0,100.0
394,Nate Schmidt\schmina01,25,D,WSH,56,2,13,15,16,16,2,0,0,0,12,0,1,55,3.6,864,15:26,32,48,0,0,
395,Dan Hamhuis\hamhuda01,34,D,DAL,71,1,14,15,-3,19,0,1,0,0,12,0,2,76,1.3,1383,19:29,90,86,0,0,
396,Matt Hunwick\hunwima01,31,D,TOR,63,1,14,15,8,16,1,0,0,0,14,0,0,59,1.7,1132,17:58,83,88,0,0,
397,Scottie Upshall\upshasc01,33,RW,STL,65,9,5,14,-1,37,8,0,1,1,5,0,0,70,12.9,701,10:47,18,76,2,7,22.2
398,Tim Schaller\schalti01,26,C,BOS,58,7,7,14,-6,23,7,0,0,2,7,0,0,89,7.9,713,12:17,37,70,28,29,49.1
399,David Desharnais\deshada01,30,C,TOT,41,6,8,14,7,8,6,0,0,1,6,2,0,40,15.0,524,12:46,13,2,129,123,51.2
400,Zemgus Girgensons\girgeze01,23,C,BUF,67,6,8,14,-8,14,6,0,0,0,8,0,0,102,5.9,886,13:14,26,111,249,272,47.8
401,Jannik Hansen\hanseja01,30,RW,TOT,35,6,8,14,-1,29,6,0,0,1,8,0,0,62,9.7,561,16:01,11,36,0,0,
402,Vinnie Hinostroza\hinosvi01,22,LW,CHI,48,6,8,14,0,17,6,0,0,2,8,0,0,72,8.3,575,11:59,19,31,68,101,40.2
403,Esa Lindell\lindees01,22,D,DAL,65,6,8,14,11,22,6,0,0,2,6,2,0,88,6.8,1407,21:39,103,84,0,1,0.0
404,Carl Soderberg\soderca01,31,C,COL,71,6,8,14,-20,20,5,1,0,0,7,1,0,118,5.1,988,13:55,39,32,334,308,52.0
405,Drake Caggiula\caggidr01,22,LW,EDM,52,5,9,14,-1,12,4,1,0,1,6,3,0,80,6.3,692,13:19,14,86,100,154,39.4
406,Ondrej Kase\kaseon01,21,RW,ANA,51,5,9,14,-2,16,5,0,0,2,9,0,0,77,6.5,596,11:42,13,42,1,6,14.3
407,Brock McGinn\mcginbr01,22,LW,CAR,47,5,9,14,-8,6,5,0,0,1,8,0,1,62,8.1,582,12:23,22,74,1,3,25.0
408,Sven Andrighetto\andrisv01,23,RW,TOT,37,4,10,14,-2,8,3,1,0,0,9,1,0,45,8.9,474,12:48,15,34,0,0,
409,Josh Manson\mansojo01,25,D,ANA,74,4,10,14,10,69,4,0,0,1,9,0,1,74,5.4,1375,18:35,73,215,0,0,
410,Nikita Nesterov\nesteni01,23,D,TOT,44,4,10,14,-2,22,3,1,0,0,9,1,0,55,7.3,710,16:09,21,77,0,0,
411,Mark Pysyk\pysykma01,25,D,FLA,73,4,10,14,-2,8,4,0,0,0,10,0,0,79,5.1,1364,18:41,90,61,0,1,0.0
412,Luke Glendening\glendlu01,27,C,DET,72,3,11,14,-10,26,3,0,0,0,10,1,0,75,4.0,944,13:06,62,149,306,254,54.6
413,Travis Hamonic\hamontr01,26,D,NYI,46,3,11,14,-19,53,3,0,0,0,10,1,0,74,4.1,957,20:49,104,56,0,0,
414,Kevin Klein\kleinke01,32,D,NYR,54,3,11,14,9,31,3,0,0,0,9,1,1,49,6.1,942,17:26,112,127,0,0,
415,Marcus Kruger\krugema01,26,C,CHI,62,3,11,14,6,30,3,0,0,0,11,0,0,72,4.2,854,13:46,52,23,305,312,49.4
416,Michael Stone\stonemi01,26,D,TOT,57,3,11,14,0,20,2,1,0,0,7,4,0,72,4.2,1137,19:57,123,117,1,0,100.0
417,Cody Ceci\cecico01,23,D,OTT,73,2,12,14,-11,20,2,0,0,0,9,1,2,127,1.6,1700,23:18,146,105,1,0,100.0
418,Joel Edmundson\edmunjo01,23,D,STL,60,2,12,14,6,56,2,0,0,1,12,0,0,69,2.9,1046,17:26,74,114,0,0,
419,Toby Enstrom\enstrto01,32,D,WPG,60,1,13,14,-7,42,0,0,1,0,7,6,0,46,2.2,1314,21:54,94,24,0,0,
420,Paul Postma\postmpa01,27,D,WPG,65,1,13,14,3,15,1,0,0,0,13,0,0,50,2.0,706,10:51,42,36,0,0,
421,Matt Calvert\calvema01,27,LW,CBJ,57,9,4,13,-4,46,6,0,3,1,4,0,0,81,11.1,772,13:32,32,53,2,12,14.3
422,Kyle Brodziak\brodzky01,32,C,STL,61,8,5,13,2,27,8,0,0,2,5,0,0,48,16.7,666,10:55,32,51,258,285,47.5
423,Kevin Fiala\fialake01,20,LW,NSH,45,8,5,13,2,12,8,0,0,1,5,0,0,97,8.2,599,13:18,13,42,0,0,
424,Darren Helm\helmda01,30,C,DET,42,8,5,13,-3,16,6,2,0,1,2,2,1,81,9.9,651,15:30,16,65,214,200,51.7
425,Benoit Pouliot\poulibe01,30,LW,EDM,59,7,6,13,-3,34,7,0,0,1,6,0,0,72,9.7,842,14:16,35,33,6,14,30.0
426,Lukas Sedlak\sedlalu01,23,LW,CBJ,58,7,6,13,9,25,6,0,1,0,6,0,0,52,13.5,559,9:38,27,62,211,200,51.3
427,Austin Czarnik\czarnau01,24,C,BOS,49,5,8,13,-10,12,5,0,0,1,5,3,0,66,7.6,638,13:01,25,19,57,76,42.9
428,Riley Nash\nashri02,27,C,BOS,73,5,8,13,-4,14,4,0,1,1,6,0,2,114,4.4,993,13:36,28,59,245,246,49.9
429,Tom Kuhnhackl\kuhnhto01,25,RW,PIT,49,4,9,13,9,18,3,0,1,0,9,0,0,40,10.0,499,10:11,35,90,2,2,50.0
430,Marco Scandella\scandma01,26,D,MIN,62,4,9,13,-3,25,4,0,0,0,9,0,0,75,5.3,1122,18:06,78,47,0,0,
431,Karl Alzner\alzneka01,28,D,WSH,73,3,10,13,21,24,3,0,0,0,10,0,0,72,4.2,1460,20:00,151,97,0,0,
432,Matt Benning\bennima01,22,D,EDM,56,3,10,13,9,27,2,1,0,0,8,2,0,63,4.8,948,16:56,60,99,0,0,
433,Matt Irwin\irwinma01,29,D,NSH,65,3,10,13,13,22,3,0,0,1,9,0,1,87,3.4,1085,16:41,106,108,0,0,
434,Jay Bouwmeester\bouwmja01,33,D,STL,72,1,12,13,2,28,1,0,0,0,11,1,0,91,1.1,1614,22:25,100,59,0,0,
435,Nic Petan\petanni01,21,LW,WPG,49,1,12,13,-13,12,1,0,0,0,4,8,0,52,1.9,550,11:13,10,10,136,161,45.8
436,Alex Petrovic\petroal01,24,D,FLA,40,1,12,13,4,70,1,0,0,0,12,0,0,45,2.2,712,17:48,48,84,0,0,
437,Fedor Tyutin\tyutife01,33,D,COL,64,1,12,13,-23,34,1,0,0,0,12,0,0,40,2.5,1214,18:58,85,111,0,0,
