Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
51,Marcus Cooper\CoopMa00,ARI,26,RCB,15,13,4,95,1,60,11,,,,,,,63,6,
52,Harold Jones-Quartey\JoneHa02,CHI,23,S,16,12,1,0,0,0,5,,,,,,,63,11,
53,Mike Adams\AdamMi21,IND,35,SS,15,15,2,56,0,56,2,2,0,2,0,0,,62,17,
54,Eric Berry*+\BerrEr99,KAN,28,SS,16,16,4,98,2,42,9,1,0,0,0,0,,62,15,
55,David Harris\HarrDa99,NYJ,32,LB,15,15,0,0,0,0,2,,,,,,0.5,62,32,
56,Von Miller*+\MillVo00,DEN,27,LB,16,16,0,0,0,0,3,3,0,0,0,0,13.5,62,16,
57,Daryl Worley\WorlDa00,CAR,21,RCB,16,11,1,22,0,22,9,,,,,,1.0,62,25,
58,Ricardo Allen\AlleRi00,ATL,25,S,16,16,2,3,0,3,3,,,,,,,61,29,
59,Barry Church\ChurBa99,DAL,28,SS,12,12,2,14,0,14,4,1,0,0,0,0,,61,24,
60,Ha Ha Clinton-Dix*\ClinHa00,GNB,24,FS,16,16,5,75,0,27,7,1,0,0,0,0,0.5,61,18,
61,Ramik Wilson\WilsRa00,KAN,24,lilb/RILB,11,11,1,6,0,6,3,1,0,2,0,0,,61,15,
62,Bashaud Breeland\BreeBa00,WAS,24,CB,14,14,3,32,0,26,11,2,0,0,0,0,1.0,60,11,
63,William Compton\CompWi00,WAS,27,MLB,15,15,1,5,0,5,5,1,0,2,0,0,,60,43,
64,Ronald Darby\DarbRo00,BUF,22,CB,14,14,0,0,0,0,12,,,,,,,60,9,
65,Jonathan Casillas\CasiJo99,NYG,29,LB,16,15,0,0,0,0,7,1,0,0,0,0,1.5,59,33,
66,Demario Davis\DaviDe00,CLE,27,LB,16,15,0,0,0,0,2,1,0,0,0,0,2.0,59,40,
67,Jason McCourty\McCoJa99,TEN,29,CB,14,14,2,7,0,6,12,0,0,1,0,0,,59,8,
68,Kevin Minter\MintKe00,ARI,26,LB,16,16,0,0,0,0,4,,,,,,3.5,59,22,
69,Lardarius Webb\WebbLa99,BAL,31,FS/rcb/s,16,16,1,0,0,0,5,,,,,,1.0,59,14,
70,Shawn Williams\WillSh02,CIN,25,SS,15,15,3,14,0,13,5,0,1,0,0,0,1.0,59,22,
71,Vonn Bell\BellVo00,NOR,22,cb/db/lb/mlb/s/ss,16,13,0,0,0,0,4,2,0,1,0,0,1.0,58,25,
72,Corey Graham\GrahCo99,BUF,31,S,16,16,1,0,0,0,9,0,0,1,0,0,1.0,58,25,
73,Jordan Hicks\HickJo00,PHI,24,MLB,16,16,5,41,0,34,11,0,0,1,0,0,1.0,58,28,
74,Steven Nelson\NelsSt01,KAN,23,cb/db/lcb/RCB,15,14,0,0,0,0,16,0,0,2,0,0,,58,6,
75,Chris Harris*+\HarrCh01,DEN,27,RCB,16,15,2,36,0,36,11,1,0,1,6,0,,57,6,
76,David Amerson\AmerDa00,OAK,25,LCB/rcb,15,15,2,0,0,0,16,,,,,,,56,8,
77,Jairus Byrd\ByrdJa99,NOR,30,FS/s,16,16,2,35,0,24,3,,,,,,,56,26,
78,C.J. Mosley*\MoslC.00,BAL,24,LB,14,14,4,40,0,28,8,1,1,0,0,0,,56,36,
79,Jake Ryan\RyanJa00,GNB,24,LB,14,10,0,0,0,0,3,,,,,,,56,25,
80,DeShawn Shead\SheaDe00,SEA,28,cb/db/lb/RCB,15,15,1,2,0,2,14,1,0,0,0,0,,56,24,
81,D.J. Swearinger\SweaDJ00,ARI,25,db/fs/s/ss,16,12,3,13,0,12,8,,,,,,2.0,56,8,
82,Nick Bellore\BellNi01,SFO,27,lb/lilb,14,10,1,4,0,4,5,1,0,1,0,0,1.0,55,22,
83,Damon Harrison+\HarrDa03,NYG,28,LDT,16,16,0,0,0,0,1,1,0,0,0,0,2.5,55,31,
84,Mike Mitchell\MitcMi99,PIT,29,FS,16,16,1,26,0,26,9,0,0,1,0,0,,55,22,
85,Denzel Perryman\PerrDe00,SDG,23,LB,12,11,1,1,0,1,2,,,,,,2.0,55,16,
86,Glover Quin\QuinGl99,DET,30,FS,16,16,2,0,0,0,5,1,0,0,0,0,,55,13,
87,Jalen Ramsey\RamsJa00,JAX,22,cb/RCB,16,16,2,65,1,35,14,1,0,0,0,0,,55,10,
88,Ryan Shazier*\ShazRy00,PIT,24,LILB,13,12,3,0,0,0,9,3,0,1,0,0,3.5,55,32,
89,Darian Stewart*\StewDa00,DEN,28,FS,16,16,3,36,0,25,6,1,0,1,28,0,,55,13,
90,Adrian Amos\AmosAd00,CHI,23,S,15,14,0,0,0,0,5,1,0,1,21,0,,54,8,
91,Chris Conte\ContCh00,TAM,27,S,14,11,2,73,1,53,5,0,0,1,10,0,,54,10,
92,Sean Davis\DaviSe00,PIT,23,db/nt/s/ss,16,8,1,0,0,0,5,0,0,1,0,0,1.5,54,15,
93,Adam Jones\JonePa20,CIN,33,cb/RCB,16,16,1,2,0,2,7,1,3,1,0,0,,54,12,
94,Khalil Mack*+\MackKh00,OAK,25,DE,16,16,1,6,1,6,3,5,0,3,1,0,11.0,54,19,
95,Brandon Carr\CarrBr99,DAL,30,CB,16,16,1,0,0,0,9,,,,,,,53,8,
96,Joe Thomas\ThomJo04,GNB,25,lb,16,7,1,9,0,9,5,0,1,1,6,0,,53,15,
97,Gerald Hodges\HodgGe00,SFO,25,LB/rilb,15,12,2,27,0,21,2,1,0,1,0,0,3.0,52,28,
98,D'Qwell Jackson\JackDQ20,IND,33,MLB,12,12,0,0,0,0,3,0,0,2,0,0,1.0,52,26,
99,Rashaan Melvin\MelvRa00,IND,27,cb/lcb,15,9,0,0,0,0,7,2,0,1,0,0,,52,8,
100,Josh Norman\NormJo01,WAS,29,CB,16,16,3,38,0,35,19,2,0,0,0,0,,52,15,
101,Ron Parker\ParkRo01,KAN,29,cb/FS,16,16,1,1,0,1,12,2,0,0,0,0,,52,9,
102,Keenan Robinson\RobiKe01,NYG,27,lb/mlb,16,6,0,0,0,0,7,,,,,,,52,27,
103,Artie Burns\BurnAr00,PIT,21,cb/lcb,16,9,3,13,0,9,13,,,,,,,51,13,
104,Brent Grimes\GrimBr20,TAM,33,CB,16,16,4,37,1,31,24,1,0,0,0,0,,51,6,
105,Kareem Jackson\JackKa99,HOU,28,cb/lcb/rcb,14,12,1,42,1,42,4,,,,,,,51,11,
106,Jalen Mills\MillJa02,PHI,22,cb,16,2,0,0,0,0,7,,,,,,,51,10,
107,Lorenzo Alexander*\AlexLo99,BUF,33,LB,16,16,1,28,0,28,6,3,0,0,0,0,12.5,50,14,
108,Robert Alford\AlfoRo00,ATL,28,CB,16,16,2,34,1,30,19,,,,,,,50,9,
109,Ladarius Gunter\GuntLa00,GNB,24,cb/RCB,16,15,0,0,0,0,12,2,0,0,0,0,,50,4,
110,Casey Hayward*\HaywCa00,SDG,27,cb/lcb/RCB,16,14,7,102,1,31,20,,,,,,,50,7,
111,Duke Ihenacho\IhenDu00,WAS,27,fs/s/ss,15,10,0,0,0,0,2,,,,,,,50,10,
112,Lamarcus Joyner\JoynLa00,LAR,26,cb/db,14,8,0,0,0,0,5,1,0,0,0,0,1.0,50,16,
113,Sio Moore\MoorSi00,3TM,26,,9,7,0,0,0,0,1,2,0,0,0,0,,50,15,
114,Reggie Nelson*\NelsRe99,OAK,33,FS/ss,16,16,5,74,0,40,12,0,0,2,0,0,,50,15,
115,Kenny Vaccaro\VaccKe00,NOR,26,s/SS,11,11,2,30,0,30,5,2,0,1,0,0,1.0,50,17,
116,Isa Abdul-Quddus\AbduIs00,MIA,27,S,15,15,2,16,0,9,5,,,,,,1.0,49,28,
117,Clayton Geathers\GeatCl00,IND,24,FS,9,9,0,0,0,0,5,1,0,0,0,0,,49,9,
118,Dwight Lowery\LoweDw99,SDG,30,FS/ss,16,16,1,25,0,25,9,1,0,1,36,1,,49,11,
119,T.J. McDonald\McDoTJ00,LAR,25,SS,16,16,2,0,0,0,6,,,,,,1.0,49,13,
120,Korey Toomer\ToomKo00,SDG,28,LB,13,8,0,0,0,0,2,3,0,1,2,0,1.0,49,22,
121,Danny Trevathan\TrevDa00,CHI,26,LB,9,8,0,0,0,0,4,,,,,,1.0,49,17,
122,Donte Whitner\WhitDo20,WAS,31,s/ss,11,9,,,,,,1,0,0,0,0,,49,17,
123,A.J. Bouye\BouyA.00,HOU,25,cb/lcb/RCB,15,11,1,0,0,0,16,,,,,,1.0,48,14,
124,Tramaine Brock\BrocTr00,SFO,28,LCB,16,16,1,39,0,39,14,1,0,0,0,0,,48,10,
125,Malcolm Butler\ButlMa01,NWE,26,cb/LCB,16,16,4,28,0,21,16,1,0,2,2,0,1.0,48,15,
126,Patrick Chung\ChunPa99,NWE,29,S,16,16,1,4,0,4,3,0,0,1,0,0,1.0,48,39,
127,George Iloka\IlokGe00,CIN,26,FS,16,16,3,21,0,21,7,,,,,,,48,25,
128,Eric Reid\ReidEr00,SFO,25,FS,10,10,1,13,0,13,6,1,0,0,0,0,,48,14,
129,Vincent Rey\ReyxVi00,CIN,29,LB,16,12,1,6,0,6,7,0,0,1,10,0,,48,31,
130,Eric Weddle*\WeddEr99,BAL,31,db/SS,16,16,4,92,0,53,13,1,0,0,0,0,1.0,48,41,
131,James Bradberry\BradJa00,CAR,23,LCB,13,13,2,6,0,5,10,,,,,,,47,12,
132,Kam Chancellor\ChanKa99,SEA,28,SS,12,12,2,5,0,5,8,1,0,0,0,0,,47,34,
133,Ross Cockrell\CockRo00,PIT,25,RCB,16,16,0,0,0,0,14,0,0,1,0,0,,47,15,
134,E.J. Gaines\GainE.00,LAR,24,lcb/RCB,11,10,0,0,0,0,7,1,0,1,0,0,,47,9,
135,Bruce Irvin\IrviBr00,OAK,29,LB,16,16,0,0,0,0,1,6,0,0,0,0,7.0,47,10,
136,Trumaine Johnson\JohnTr05,LAR,26,LCB,14,14,1,0,0,0,11,0,0,1,0,0,,47,10,
137,Daniel Sorensen\SoreDa01,KAN,26,s,16,1,3,48,1,48,6,2,0,3,56,0,1.0,47,7,
138,Prince Amukamara\AmukPr00,JAX,27,LCB/rcb,14,12,0,0,0,0,6,,,,,,,46,3,
139,Melvin Ingram\IngrMe00,SDG,27,LB,16,16,0,0,0,0,5,5,0,0,0,0,8.0,46,14,
140,Jamar Taylor\TaylJa01,CLE,26,CB,15,14,3,43,0,29,13,,,,,,,46,11,
141,Olivier Vernon\VernOl00,NYG,26,DE,16,16,,,,,,1,0,1,0,0,8.5,46,18,
142,Micah Hyde\HydeMi00,GNB,26,cb/de/rcb/s/ss,16,11,3,11,0,11,9,0,1,2,0,0,1.0,45,11,
143,Nevin Lawson\LawsNe00,DET,25,CB,16,16,0,0,0,0,9,,,,,,,45,11,
144,Tony Lippett\LippTo00,MIA,24,CB,16,13,4,0,0,0,10,,,,,,,45,23,
145,Tracy Porter\PortTr99,CHI,30,CB,16,15,2,28,0,25,9,1,0,0,0,0,,45,3,
146,Janoris Jenkins*\JenkJa03,NYG,28,RCB,15,15,3,26,0,23,18,1,1,0,0,0,1.0,44,5,
147,Malcolm Jenkins\JenkMa99,PHI,29,cb/S,16,16,3,98,2,64,9,0,0,1,0,0,1.0,44,25,
148,Karl Joseph\JoseKa00,OAK,23,SS,12,9,1,21,0,21,6,0,0,1,0,0,,44,16,
149,Blake Martinez\MartBl01,GNB,22,LB,13,9,1,4,0,4,4,,,,,,1.0,44,21,
150,Sterling Moore\MoorSt00,NOR,26,CB,13,12,2,8,0,8,13,,,,,,,44,12,
151,Patrick Peterson*\PetePa00,ARI,26,LCB,16,16,3,27,0,25,6,0,1,1,0,0,,44,6,
152,Xavier Rhodes*\RhodXa00,MIN,26,lcb/RCB,14,14,5,133,1,100,10,1,0,0,0,0,,44,8,
153,DeForest Buckner\BuckDe00,SFO,22,dt/LDT/nt,15,15,0,0,0,0,1,0,0,2,0,0,6.0,43,30,
154,Byron Maxwell\MaxwBy00,MIA,28,CB,13,13,2,29,0,27,15,4,0,0,0,0,,43,10,
155,Calvin Pryor\PryoCa00,NYJ,24,SS,15,15,0,0,0,0,6,1,0,0,0,0,,43,17,
156,Darrelle Revis\ReviDa99,NYJ,31,CB,15,15,1,51,0,51,5,,,,,,,43,10,
157,Darius Slay\SlayDa00,DET,25,CB,13,13,2,24,0,13,13,1,0,0,0,0,1.0,43,1,
158,William Gay\GayxWi99,PIT,31,cb/lcb,16,9,1,0,0,0,7,1,0,0,0,0,1.0,42,16,
159,Stephon Gilmore*\GilmSt00,BUF,26,CB,15,15,5,135,0,49,12,,,,,,,42,6,
160,Edwin Jackson\JackEd00,IND,25,LB,16,8,,,,,,,,,,,2.0,42,19,
161,Darron Lee\LeexDa00,NYJ,22,LB,13,9,0,0,0,0,2,,,,,,1.0,42,28,
162,Brian Poole\PoolBr01,ATL,24,CB/de,16,9,1,24,0,24,10,0,0,2,10,0,1.0,42,16,
163,Andrew Sendejo\SendAn00,MIN,29,SS,14,14,2,18,0,16,4,0,1,2,5,0,0.5,42,24,
164,Jimmie Ward\WardJi01,SFO,25,RCB,11,10,1,8,0,8,12,1,0,1,0,0,1.0,42,10,
165,Kyle Williams*\WillKy20,BUF,33,DT,15,15,,,,,,,,,,,5.0,42,22,
166,Shareece Wright\WrigSh00,BAL,29,cb/lcb/rcb,12,9,0,0,0,0,6,0,0,1,0,0,,42,8,
167,Jahleel Addae\AddaJa00,SDG,26,SS,8,8,1,90,1,90,4,,,,,,,41,7,
168,Eli Apple\ApplEl00,NYG,21,cb/db/lcb,14,11,1,0,0,0,7,1,0,2,0,0,,41,8,
169,Ahmad Brooks\BrooAh21,SFO,32,LB/lolb,16,15,0,0,0,0,4,1,0,0,0,0,6.0,41,12,
170,Nolan Carroll\CarrNo00,PHI,29,CB,16,16,1,0,0,0,10,1,0,0,0,0,,41,14,
171,Phillip Gaines\GainPh00,KAN,25,rcb,11,5,1,0,0,0,7,2,0,0,0,0,,41,2,
172,Markus Golden\GoldMa00,ARI,25,lb,16,3,0,0,0,0,1,4,0,1,20,0,12.5,41,10,
173,Brandon Graham\GrahBr99,PHI,28,DE,16,16,0,0,0,0,1,2,0,1,4,0,5.5,41,18,
174,Dominique Rodgers-Cromartie\RodgDo99,NYG,30,LCB/rcb,15,9,6,28,0,28,21,1,0,0,0,0,1.0,41,8,
175,Daimion Stafford\StafDa00,TEN,25,fs/s/ss,15,6,1,4,0,4,2,0,0,1,0,0,1.0,41,10,
176,Ndamukong Suh*\SuhxNd99,MIA,29,de/DT,16,16,0,0,0,0,6,0,0,1,0,0,5.0,41,31,
177,Keith Tandy\TandKe00,TAM,27,s,16,5,4,26,0,28,9,0,0,1,0,0,,41,11,
178,Tavon Young\YounTa01,BAL,22,cb/db/LCB/rcb,16,11,2,22,0,16,8,0,0,1,0,0,,41,9,
179,Kevin Byard\ByarKe01,TEN,23,fs,16,7,0,0,0,0,4,,,,,,1.0,40,11,
180,Jadeveon Clowney*\ClowJa00,HOU,23,DE/lb,14,14,0,0,0,0,2,1,0,0,0,0,6.0,40,12,
181,Ken Crawley\CrawKe02,NOR,23,cb/rcb,15,5,0,0,0,0,8,1,0,1,0,0,,40,3,
182,Cameron Jordan\JordCa00,NOR,27,DE,16,16,0,0,0,0,6,1,0,0,0,0,7.5,40,18,
183,Cre'von LeBlanc\LeBlCr01,CHI,22,CB/de,13,9,2,24,1,24,10,,,,,,,40,4,
184,Corey Nelson\NelsCo00,DEN,24,lb,16,6,0,0,0,0,5,0,0,1,0,0,,40,21,
185,Trae Waynes\WaynTr00,MIN,24,cb/lcb/rcb,15,9,3,4,0,4,11,,,,,,,40,7,
186,James Harrison\HarrJa23,PIT,38,rolb,15,7,1,0,0,0,1,2,0,0,0,0,5.0,39,14,
187,Anthony Hitchens\HitcAn00,DAL,24,lb/MLB,16,16,0,0,0,0,1,,,,,,1.5,39,39,
188,Brandon Marshall\MarsBr01,DEN,27,LB,11,10,0,0,0,0,3,,,,,,,39,13,
189,Quinten Rollins\RollQu00,GNB,24,cb/lcb/rcb,13,10,1,0,0,0,8,,,,,,,39,2,
190,Orlando Scandrick\ScanOr99,DAL,29,CB/lb,12,10,1,0,0,0,8,3,0,0,0,0,2.0,39,7,
191,Buster Skrine\SkriBu00,NYJ,27,CB,14,14,1,51,0,51,6,0,1,0,0,0,1.0,39,8,
192,Nathan Stupar\StupNa01,NOR,28,lb/mlb,16,6,1,0,0,0,2,2,0,2,0,0,1.0,39,9,
193,Shaq Thompson\ThomSh01,CAR,22,LB,14,12,1,12,0,12,5,0,0,2,9,1,,39,15,
194,Wesley Woodyard\WoodWe20,TEN,30,LB,16,10,1,21,0,21,5,,,,,,2.0,39,14,
195,Maurice Alexander\AlexMa00,LAR,25,FS,14,14,2,19,0,19,4,,,,,,1.0,38,12,
196,Tre Boston\BostTr00,CAR,24,FS,15,10,2,29,0,22,7,,,,,,2.0,38,14,
197,Brian Cushing\CushBr99,HOU,29,MLB,13,13,0,0,0,0,1,,,,,,,38,27,
198,Quintin Demps\DempQu99,HOU,31,SS,13,13,6,54,0,19,9,1,0,0,0,0,,38,17,
199,Quandre Diggs\DiggQu00,DET,25,cb,12,4,0,0,0,0,1,1,0,0,0,0,,38,4,
200,Marcus Gilchrist\GilcMa00,NYJ,28,FS,13,13,2,25,0,25,3,1,0,0,0,0,,38,15,
201,Chandler Jones\JoneCh03,ARI,26,LB,16,16,0,0,0,0,3,4,0,2,0,0,11.0,38,11,
202,Johnathan Joseph\JoseJo20,HOU,32,LCB,13,11,0,0,0,0,9,1,0,0,0,0,,38,7,
203,Devon Kennard\KennDe00,NYG,25,LB,16,9,0,0,0,0,1,1,0,1,0,0,1.0,38,20,
204,Captain Munnerlyn\MunnCa99,MIN,28,cb/db/lcb,15,9,0,0,0,0,3,1,0,0,0,0,,38,17,
205,Brian Orakpo*\OrakBr99,TEN,30,LB,16,16,0,0,0,0,4,1,0,0,0,0,10.5,38,8,
206,Sheldon Richardson\RichSh00,NYJ,26,lb,15,14,0,0,0,0,2,1,0,2,0,0,1.5,38,24,
207,Perry Riley\RilePe00,OAK,28,lb/MLB,11,11,0,0,0,0,1,2,0,0,0,0,,38,10,
208,Richard Sherman*\SherRi00,SEA,28,cb/LCB,16,16,4,37,0,31,13,0,0,1,14,0,,38,20,
209,Michael Wilhoite\WilhMi00,SFO,30,lb/rilb,16,6,0,0,0,0,2,1,0,1,0,0,0.5,38,8,
210,Derek Wolfe\WolfDe00,DEN,26,DE,14,14,0,0,0,0,4,,,,,,5.5,38,13,
211,Anthony Barr*\BarrAn00,MIN,24,LB,16,16,0,0,0,0,4,1,0,1,0,0,2.0,37,33,
212,Anthony Brown\BrowAn02,DAL,23,CB/db,16,10,1,0,0,0,8,1,0,0,0,0,,37,14,
213,Perrish Cox\CoxxPe99,TEN,29,CB,11,9,3,3,0,3,11,,,,,,,37,5,
214,William Gholston\GholWi00,TAM,25,DE,14,14,,,,,,1,0,1,0,0,3.5,37,13,
215,Joe Haden\HadeJo99,CLE,27,CB,13,13,3,9,0,9,11,,,,,,,37,11,
216,Linval Joseph*\JoseLi99,MIN,28,NT,16,16,,,,,,3,0,0,0,0,4.0,37,40,
217,Spencer Paysinger\PaysSp00,MIA,28,lb,15,3,0,0,0,0,3,0,0,2,0,0,,37,15,
218,Briean Boddy-Calhoun\BoddBr01,CLE,23,cb/db,14,7,3,94,1,67,11,0,1,0,0,0,1.0,36,4,
219,Aaron Donald*+\DonaAa00,LAR,25,dt/LDT,16,16,0,0,0,0,5,2,0,0,0,0,8.0,36,11,
220,Everson Griffen*\GrifEv99,MIN,29,DE,16,16,0,0,0,0,1,2,0,3,20,1,8.0,36,12,
221,Akiem Hicks\HickAk00,CHI,27,DE,16,16,0,0,0,0,2,2,0,1,0,0,7.0,36,18,
222,Whitney Mercilus\MercWh00,HOU,26,LB,15,15,0,0,0,0,1,1,0,4,7,0,7.5,36,17,
223,Jaquiski Tartt\TartJa00,SFO,24,fs,15,6,0,0,0,0,3,,,,,,1.0,36,13,
224,Leonard Williams*\WillLe02,NYJ,22,,16,16,,,,,,2,0,0,0,0,7.0,36,32,
225,De'Vondre Campbell\CampDe00,ATL,23,LB,11,10,1,7,0,7,7,1,0,0,0,0,,35,13,
226,Neville Hewitt\HewiNe00,MIA,23,lb,16,5,0,0,0,0,1,0,1,1,0,0,1.0,35,22,
227,Dre Kirkpatrick\KirkDr00,CIN,27,LCB,15,14,3,21,0,21,10,,,,,,,35,11,
228,Nick Perry\PerrNi00,GNB,26,lolb/rolb,14,12,1,0,0,0,4,,,,,,11.0,35,17,
229,Marcus Peters*+\PeteMa00,KAN,23,LCB,15,15,6,63,0,28,20,1,0,3,31,0,,35,10,
230,Jason Pierre-Paul\PierJa99,NYG,27,DE,12,12,0,0,0,0,8,3,0,1,43,1,7.0,35,18,
231,Sean Spence\SpenSe00,TEN,26,lb,15,6,0,0,0,0,3,1,0,0,0,0,3.0,35,15,
232,Calais Campbell\CampCa99,ARI,30,DT,16,16,1,1,0,1,6,2,0,3,53,1,8.0,34,19,1
233,Vontae Davis\DaviVo99,IND,28,RCB,14,14,1,0,0,0,10,,,,,,,34,3,
234,Dannell Ellerbe\ElleDa99,NOR,31,LB,9,8,0,0,0,0,2,,,,,,4.0,34,10,
235,Kyle Emanuel\EmanKy00,SDG,25,LB,16,12,0,0,0,0,1,1,0,1,0,0,0.5,34,21,
236,Tashaun Gipson\GipsTa00,JAX,26,FS,16,16,1,30,0,30,2,,,,,,,34,7,
